Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,141.899994,142.919998,139.110001,142.649994,142.442108,94639600
2021-10-04,141.759995,142.210007,138.270004,139.139999,138.937225,98322000
2021-10-05,139.490005,142.240005,139.360001,141.110001,140.904358,80861100
2021-10-06,139.470001,142.149994,138.369995,142.000000,141.793060,83221100
2021-10-07,143.059998,144.220001,142.720001,143.289993,143.081177,61732700
2021-10-08,144.029999,144.179993,142.559998,142.899994,142.691742,58718700
2021-10-11,142.270004,144.809998,141.809998,142.809998,142.601883,64452200
2021-10-12,143.229996,143.250000,141.039993,141.509995,141.303772,73035900
2021-10-13,141.240005,141.399994,139.199997,140.910004,140.704651,78762700
2021-10-14,142.110001,143.880005,141.509995,143.759995,143.550491,69907100
2021-10-15,143.770004,144.899994,143.509995,144.839996,144.628922,67885200
2021-10-18,143.449997,146.839996,143.160004,146.550003,146.336426,85589200
2021-10-19,147.009995,149.169998,146.550003,148.759995,148.543198,76378900
2021-10-20,148.699997,149.750000,148.119995,149.259995,149.042480,58418800
2021-10-21,148.809998,149.639999,147.869995,149.479996,149.262146,61421000
2021-10-22,149.690002,150.179993,148.639999,148.690002,148.473312,58883400
2021-10-25,148.679993,149.369995,147.619995,148.639999,148.423386,50720600
2021-10-26,149.330002,150.839996,149.009995,149.320007,149.102402,60893400
2021-10-27,149.360001,149.729996,148.490005,148.850006,148.633087,56094900
2021-10-28,149.820007,153.169998,149.720001,152.570007,152.347656,100077900
2021-10-29,147.220001,149.940002,146.410004,149.800003,149.581696,124850400
2021-11-01,148.990005,149.699997,147.800003,148.960007,148.742920,74588300
2021-11-02,148.660004,151.570007,148.649994,150.020004,149.801376,69122000
2021-11-03,150.389999,151.970001,149.820007,151.490005,151.269241,54511500
2021-11-04,151.580002,152.429993,150.639999,150.960007,150.740005,60394600
2021-11-05,151.889999,152.199997,150.059998,151.279999,151.279999,65414600
2021-11-08,151.410004,151.570007,150.160004,150.440002,150.440002,55020900
2021-11-09,150.199997,151.429993,150.059998,150.809998,150.809998,56787900
2021-11-10,150.020004,150.130005,147.850006,147.919998,147.919998,65187100
2021-11-11,148.960007,149.429993,147.679993,147.869995,147.869995,41000000
2021-11-12,148.429993,150.399994,147.479996,149.990005,149.990005,63632600
2021-11-15,150.369995,151.880005,149.429993,150.000000,150.000000,59222800
2021-11-16,149.940002,151.490005,149.339996,151.000000,151.000000,59256200
2021-11-17,151.000000,155.000000,150.990005,153.490005,153.490005,88807000
2021-11-18,153.710007,158.669998,153.050003,157.869995,157.869995,137827700
